Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location
Vipshop,https://www.crunchbase.com/organization/vipshop,5,1,"Guangzhou, Guangdong, China"
UTStarcom,https://www.crunchbase.com/organization/utstarcom,5,1,"Beijing, Beijing, China"
Zhejiang Geely Holding Group,https://www.crunchbase.com/organization/zhejiang-geely-holding-group,5,1,"Hangzhou, Zhejiang, China"
William Bao Bean,https://www.crunchbase.com/person/william-bao-bean,5,,"Shanghai, Shanghai, China"
Alpha startups,https://www.crunchbase.com/organization/alpha-startups,5,,"Beijing, Beijing, China"
Pagoda Investment,https://www.crunchbase.com/organization/pagoda-investment,5,,"Beijing, Beijing, China"
China Venture Capital,https://www.crunchbase.com/organization/china-venture-capital,5,1,"Beijing, Beijing, China"
Summitview Capital,https://www.crunchbase.com/organization/summitview-capital,5,,"Shanghai, Shanghai, China"
China Oceanwide,https://www.crunchbase.com/organization/china-oceanwide-2,5,1,"Dongcheng, Shaanxi, China"
Lunar Capital,https://www.crunchbase.com/organization/lunar-capital,5,,"Shanghai, Shanghai, China"
Perfect World,https://www.crunchbase.com/organization/perfect-world,5,1,"Beijing, Beijing, China"
Kuang-Chi Science,https://www.crunchbase.com/organization/kuang-chi-science,5,,"Shenzhen, Guangdong, China"
Hangzhou Liaison Interactive Information Technology,https://www.crunchbase.com/organization/hangzhou-liaison-interactive-information-technology,5,3,"Beijing, Beijing, China"
China Vanke,https://www.crunchbase.com/organization/china-vanke,5,2,"Shenzhen, Guangdong, China"
Bob Xu,https://www.crunchbase.com/person/xu-xiaoping,5,2,"Beijing, Beijing, China"
Mangrove Capital,https://www.crunchbase.com/organization/mangrove-capital,5,,"Shenzhen, Guangdong, China"
New Alliance Capital,https://www.crunchbase.com/organization/new-alliance-capital,5,1,"Shanghai, Shanghai, China"
Quan Capital,https://www.crunchbase.com/organization/quan-capital,5,2,"Shanghai, Shanghai, China"
Sigma Square Capital,https://www.crunchbase.com/organization/sigma-square-capital,5,1,"Beijing, Beijing, China"
China Merchants Securities,https://www.crunchbase.com/organization/china-merchants-securities,5,,"Shenzhen, Guangdong, China"
Yongjin Group,https://www.crunchbase.com/organization/yongjin-group,5,,"Shanghai, Shanghai, China"
Haisco,https://www.crunchbase.com/organization/haisco,5,1,"Wenxiang, Liaoning, China"
Hao Capital,https://www.crunchbase.com/organization/hao-capital,5,1,"Beijing, Beijing, China"
Chuxin Capital,https://www.crunchbase.com/organization/chuxin-capital,5,,"Beijing, Beijing, China"
Li Qing Zeng,https://www.crunchbase.com/person/zeng-liqing,5,,"Shenzhen, Guangdong, China"
Tianjin Venture Capital,https://www.crunchbase.com/organization/tianjin-venture-capital,5,,"Tianjin, Guangdong, China"
Dasbank,https://www.crunchbase.com/organization/dasbank,5,,"Beijing, Beijing, China"
Zhixin Capital,https://www.crunchbase.com/organization/zhixincapital,5,,"Chengdu, Sichuan, China"
Toutiao,https://www.crunchbase.com/organization/toutiao,4,,"Beijing, Beijing, China"
Ximalaya FM,https://www.crunchbase.com/organization/ximalaya,4,,"Shanghai, Shanghai, China"
Meitu,https://www.crunchbase.com/organization/meitu,4,,"Xiamen, Fujian, China"
Funplus,https://www.crunchbase.com/organization/funplus-game,4,,"Haidian, Beijing, China"
